Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,StateAttributeTypeID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Grassland:All,Carbon Initial Conditions: Aboveground Fast,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Aboveground Medium,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Aboveground Slow,,,,,,4.3757,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Aboveground Very Fast,,,,,,0.9381,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Belowground Fast,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Belowground Slow,,,,,,16.7234,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Belowground Very Fast,,,,,,0.1879,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Black Carbon,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Coarse Roots,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Fine Roots,,,,,,0.3628,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Foliage,,,,,,0.3153,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Merchantable,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Other Wood,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Snag Branch,,,,,,0.0000,,,,,
,,,,,Grassland:All,Carbon Initial Conditions: Snag Stem,,,,,,0.0000,,,,,
,,,,,Grassland:All,NPP,,,,,,0.6781,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Aboveground Fast,,,,,,0.1171,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Aboveground Medium,,,,,,0.0000,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Aboveground Slow,,,,,,1.2455,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Aboveground Very Fast,,,,,,0.1727,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Belowground Fast,,,,,,0.0421,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Belowground Slow,,,,,,5.4994,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Belowground Very Fast,,,,,,0.0362,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Black Carbon,,,,,,0.0000,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Coarse Roots,,,,,,0.4298,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Fine Roots,,,,,,0.1139,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Foliage,,,,,,0.1146,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Merchantable,,,,,,0.0000,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Other Wood,,,,,,0.4298,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Snag Branch,,,,,,0.0250,,,,,
,,,,,Shrubland:All,Carbon Initial Conditions: Snag Stem,,,,,,0.0000,,,,,
,,,,,Shrubland:All,NPP,,,,,,0.2463,,,,,
