Nestweb Forest State Class,CBM Forest State Class,BEC Variant
Forest:Aspen,Forest:Aspen/Birch Group,
Forest:Fir,Forest:Douglas-fir Inland Group,
Forest:Pine,Forest:Lodgepole Pine Group,
Forest:Spruce,Forest:Fir/Spruce/Mountain Hemlock Group,
Forest:Unknown,Forest:Douglas-fir Inland Group,BGxw
Forest:Unknown,Forest:Douglas-fir Inland Group,IDFdk
Forest:Unknown,Forest:Douglas-fir Inland Group,IDFxm
Forest:Unknown,Forest:Fir/Spruce/Mountain Hemlock Group,SBPSmk
Forest:Unknown,Forest:Fir/Spruce/Mountain Hemlock Group,SBSdw
